Date,District,Warehouse_Name,Number_of_Guards,Police_Units
2023-11-01,Краснокотейский,Колбасовы,4,3
2023-11-01,Краснокотейский,Молочковы,8,6
2023-11-01,Краснокотейский,Мятновы,8,6
2023-11-01,Краснокотейский,Сметанинковы,11,9
2023-11-01,Мышесельский,Колбасовы,11,9
2023-11-01,Мышесельский,Молочковы,10,8
2023-11-01,Мышесельский,Мятновы,4,2
2023-11-01,Мышесельский,Сметанинковы,9,8
2023-11-01,Петрокотский,Колбасовы,2,2
2023-11-01,Петрокотский,Молочковы,6,4
2023-11-01,Петрокотский,Мятновы,7,6
2023-11-01,Петрокотский,Сметанинковы,2,1
2023-11-01,Приморский,Колбасовы,6,6
2023-11-01,Приморский,Молочковы,4,4
2023-11-01,Приморский,Мятновы,10,9
2023-11-01,Приморский,Сметанинковы,1,1
2023-11-01,Невский,Колбасовы,3,1
2023-11-01,Невский,Молочковы,3,2
2023-11-01,Невский,Мятновы,11,9
2023-11-01,Невский,Сметанинковы,2,1
2023-10-31,Мышеостровский,Колбасовы,3,1
2023-10-31,Мышеостровский,Молочковы,9,8
2023-10-31,Мышеостровский,Мятновы,3,3
2023-10-31,Мышеостровский,Сметанинковы,3,2
2023-10-31,Краснокотейский,Колбасовы,9,7
2023-10-31,Краснокотейский,Молочковы,5,5
2023-10-31,Краснокотейский,Мятновы,5,3
2023-10-31,Краснокотейский,Сметанинковы,8,7
2023-10-31,Мышесельский,Колбасовы,3,1
2023-10-31,Мышесельский,Молочковы,3,1
2023-10-31,Мышесельский,Мятновы,9,8
2023-10-31,Мышесельский,Сметанинковы,9,7
2023-10-31,Петрокотский,Колбасовы,5,3
2023-10-31,Петрокотский,Молочковы,4,2
2023-10-31,Петрокотский,Мятновы,1,1
2023-10-31,Петрокотский,Сметанинковы,8,6
2023-10-31,Приморский,Колбасовы,2,1
2023-10-31,Приморский,Молочковы,9,8
2023-10-31,Приморский,Мятновы,2,1
2023-10-31,Приморский,Сметанинковы,7,5
2023-10-31,Невский,Колбасовы,5,3
2023-10-31,Невский,Молочковы,7,7
2023-10-31,Невский,Мятновы,4,2
2023-10-31,Невский,Сметанинковы,8,6
2023-10-30,Мышеостровский,Колбасовы,5,5
2023-10-30,Мышеостровский,Молочковы,5,3
2023-10-30,Мышеостровский,Мятновы,9,8
2023-10-30,Мышеостровский,Сметанинковы,9,9
2023-10-30,Краснокотейский,Колбасовы,5,5
2023-10-30,Краснокотейский,Молочковы,3,3
2023-10-30,Краснокотейский,Мятновы,8,7
2023-10-30,Краснокотейский,Сметанинковы,2,1
2023-10-30,Мышесельский,Колбасовы,6,6
2023-10-30,Мышесельский,Молочковы,6,5
2023-10-30,Мышесельский,Мятновы,4,2
2023-10-30,Мышесельский,Сметанинковы,3,3
2023-10-30,Петрокотский,Колбасовы,7,6
2023-10-30,Петрокотский,Молочковы,6,5
2023-10-30,Петрокотский,Мятновы,3,1
2023-10-30,Петрокотский,Сметанинковы,2,1
2023-10-30,Приморский,Колбасовы,8,6
2023-10-30,Приморский,Молочковы,9,8
2023-10-30,Приморский,Мятновы,1,1
2023-10-30,Приморский,Сметанинковы,2,1
2023-10-30,Невский,Колбасовы,2,2
2023-10-30,Невский,Молочковы,4,2
2023-10-30,Невский,Мятновы,10,8
2023-10-30,Невский,Сметанинковы,5,4
2023-10-29,Мышеостровский,Колбасовы,2,2
2023-10-29,Мышеостровский,Молочковы,2,2
2023-10-29,Мышеостровский,Мятновы,6,4
2023-10-29,Мышеостровский,Сметанинковы,5,4
2023-10-29,Краснокотейский,Колбасовы,9,8
2023-10-29,Краснокотейский,Молочковы,8,7
2023-10-29,Краснокотейский,Мятновы,3,3
2023-10-29,Краснокотейский,Сметанинковы,2,2
2023-10-29,Мышесельский,Колбасовы,2,2
2023-10-29,Мышесельский,Молочковы,4,4
2023-10-29,Мышесельский,Мятновы,6,5
2023-10-29,Мышесельский,Сметанинковы,4,4
2023-10-29,Петрокотский,Колбасовы,3,1
2023-10-29,Петрокотский,Молочковы,5,3
2023-10-29,Петрокотский,Мятновы,10,9
2023-10-29,Петрокотский,Сметанинковы,9,8
2023-10-29,Приморский,Колбасовы,9,8
2023-10-29,Приморский,Молочковы,8,8
2023-10-29,Приморский,Мятновы,9,7
2023-10-29,Приморский,Сметанинковы,6,4
2023-10-29,Невский,Колбасовы,4,4
2023-10-29,Невский,Молочковы,4,4
2023-10-29,Невский,Мятновы,8,7
2023-10-29,Невский,Сметанинковы,5,3
2023-10-28,Мышеостровский,Колбасовы,8,6
2023-10-28,Мышеостровский,Молочковы,4,2
2023-10-28,Мышеостровский,Мятновы,9,9
2023-10-28,Мышеостровский,Сметанинковы,8,8
2023-10-28,Краснокотейский,Колбасовы,8,6
2023-10-28,Краснокотейский,Молочковы,9,7
2023-10-28,Краснокотейский,Мятновы,3,3
2023-10-28,Краснокотейский,Сметанинковы,7,6
2023-10-28,Мышесельский,Колбасовы,4,4
2023-10-28,Мышесельский,Молочковы,5,3
2023-10-28,Мышесельский,Мятновы,5,3
2023-10-28,Мышесельский,Сметанинковы,5,3
2023-10-28,Петрокотский,Колбасовы,8,8
2023-10-28,Петрокотский,Молочковы,5,5
2023-10-28,Петрокотский,Мятновы,10,9
2023-10-28,Петрокотский,Сметанинковы,5,3
2023-10-28,Приморский,Колбасовы,5,3
2023-10-28,Приморский,Молочковы,10,8
2023-10-28,Приморский,Мятновы,9,7
2023-10-28,Приморский,Сметанинковы,10,9
2023-10-28,Невский,Колбасовы,8,7
2023-10-28,Невский,Молочковы,9,9
2023-10-28,Невский,Мятновы,2,2
2023-10-28,Невский,Сметанинковы,5,3
2023-10-27,Мышеостровский,Колбасовы,7,5
2023-10-27,Мышеостровский,Молочковы,11,9
2023-10-27,Мышеостровский,Мятновы,5,4
2023-10-27,Мышеостровский,Сметанинковы,10,8
2023-10-27,Краснокотейский,Колбасовы,4,4
2023-10-27,Краснокотейский,Молочковы,9,8
2023-10-27,Краснокотейский,Мятновы,9,8
2023-10-27,Краснокотейский,Сметанинковы,3,2
2023-10-27,Мышесельский,Колбасовы,3,1
2023-10-27,Мышесельский,Молочковы,8,8
2023-10-27,Мышесельский,Мятновы,6,4
2023-10-27,Мышесельский,Сметанинковы,9,8
2023-10-27,Петрокотский,Колбасовы,3,2
2023-10-27,Петрокотский,Молочковы,4,2
2023-10-27,Петрокотский,Мятновы,10,9
2023-10-27,Петрокотский,Сметанинковы,7,5
2023-10-27,Приморский,Колбасовы,2,1
2023-10-27,Приморский,Молочковы,3,2
2023-10-27,Приморский,Мятновы,7,6
2023-10-27,Приморский,Сметанинковы,3,1
2023-10-27,Невский,Колбасовы,3,3
2023-10-27,Невский,Молочковы,4,2
2023-10-27,Невский,Мятновы,5,4
2023-10-27,Невский,Сметанинковы,4,3
2023-10-26,Мышеостровский,Колбасовы,2,1
2023-10-26,Мышеостровский,Молочковы,7,5
2023-10-26,Мышеостровский,Мятновы,9,8
2023-10-26,Мышеостровский,Сметанинковы,5,4
2023-10-26,Краснокотейский,Колбасовы,2,2
2023-10-26,Краснокотейский,Молочковы,5,3
2023-10-26,Краснокотейский,Мятновы,7,5
2023-10-26,Краснокотейский,Сметанинковы,9,8
2023-10-26,Мышесельский,Колбасовы,10,9
2023-10-26,Мышесельский,Молочковы,10,8
2023-10-26,Мышесельский,Мятновы,7,5
2023-10-26,Мышесельский,Сметанинковы,7,5
2023-10-26,Петрокотский,Колбасовы,7,7
2023-10-26,Петрокотский,Молочковы,6,4
2023-10-26,Петрокотский,Мятновы,4,4
2023-10-26,Петрокотский,Сметанинковы,7,7
2023-10-26,Приморский,Колбасовы,5,4
2023-10-26,Приморский,Молочковы,8,7
2023-10-26,Приморский,Мятновы,3,1
2023-10-26,Приморский,Сметанинковы,5,4
2023-10-26,Невский,Колбасовы,3,1
2023-10-26,Невский,Молочковы,4,4
2023-10-26,Невский,Мятновы,4,3
2023-10-26,Невский,Сметанинковы,5,5
2023-10-25,Мышеостровский,Колбасовы,7,7
2023-10-25,Мышеостровский,Молочковы,7,5
2023-10-25,Мышеостровский,Мятновы,1,1
2023-10-25,Мышеостровский,Сметанинковы,6,5
2023-10-25,Краснокотейский,Колбасовы,6,5
2023-10-25,Краснокотейский,Молочковы,9,7
2023-10-25,Краснокотейский,Мятновы,11,9
2023-10-25,Краснокотейский,Сметанинковы,1,1
2023-10-25,Мышесельский,Колбасовы,10,8
2023-10-25,Мышесельский,Молочковы,4,4
2023-10-25,Мышесельский,Мятновы,2,2
2023-10-25,Мышесельский,Сметанинковы,7,6
2023-10-25,Петрокотский,Колбасовы,5,4
2023-10-25,Петрокотский,Молочковы,5,5
2023-10-25,Петрокотский,Мятновы,8,7
2023-10-25,Петрокотский,Сметанинковы,5,3
2023-10-25,Приморский,Колбасовы,2,2
2023-10-25,Приморский,Молочковы,8,8
2023-10-25,Приморский,Мятновы,7,6
2023-10-25,Приморский,Сметанинковы,3,3
2023-10-25,Невский,Колбасовы,5,5
2023-10-25,Невский,Молочковы,7,5
2023-10-25,Невский,Мятновы,7,5
2023-10-25,Невский,Сметанинковы,9,9
2023-10-24,Мышеостровский,Колбасовы,6,5
2023-10-24,Мышеостровский,Молочковы,1,1
2023-10-24,Мышеостровский,Мятновы,7,5
2023-10-24,Мышеостровский,Сметанинковы,9,7
2023-10-24,Краснокотейский,Колбасовы,9,8
2023-10-24,Краснокотейский,Молочковы,4,4
2023-10-24,Краснокотейский,Мятновы,2,1
2023-10-24,Краснокотейский,Сметанинковы,6,5
2023-10-24,Мышесельский,Колбасовы,6,6
2023-10-24,Мышесельский,Молочковы,3,3
2023-10-24,Мышесельский,Мятновы,6,6
2023-10-24,Мышесельский,Сметанинковы,2,1
2023-10-24,Петрокотский,Колбасовы,5,4
2023-10-24,Петрокотский,Молочковы,7,7
2023-10-24,Петрокотский,Мятновы,10,9
2023-10-24,Петрокотский,Сметанинковы,2,2
2023-10-24,Приморский,Колбасовы,4,2
2023-10-24,Приморский,Молочковы,8,6
2023-10-24,Приморский,Мятновы,8,6
2023-10-24,Приморский,Сметанинковы,2,1
2023-10-24,Невский,Колбасовы,6,6
2023-10-24,Невский,Молочковы,5,5
2023-10-24,Невский,Мятновы,11,9
2023-10-24,Невский,Сметанинковы,3,3
2023-10-23,Мышеостровский,Колбасовы,3,2
2023-10-23,Мышеостровский,Молочковы,5,5
2023-10-23,Мышеостровский,Мятновы,3,2
2023-10-23,Мышеостровский,Сметанинковы,6,5
2023-10-23,Краснокотейский,Колбасовы,2,1
2023-10-23,Краснокотейский,Молочковы,7,7
2023-10-23,Краснокотейский,Мятновы,8,6
2023-10-23,Краснокотейский,Сметанинковы,10,8
2023-10-23,Мышесельский,Колбасовы,5,4
2023-10-23,Мышесельский,Молочковы,10,9
2023-10-23,Мышесельский,Мятновы,8,6
2023-10-23,Мышесельский,Сметанинковы,9,7
2023-10-23,Петрокотский,Колбасовы,1,1
2023-10-23,Петрокотский,Молочковы,5,3
2023-10-23,Петрокотский,Мятновы,7,5
2023-10-23,Петрокотский,Сметанинковы,1,1
2023-10-23,Приморский,Колбасовы,9,7
2023-10-23,Приморский,Молочковы,7,7
2023-10-23,Приморский,Мятновы,1,1
2023-10-23,Приморский,Сметанинковы,9,9
2023-10-23,Невский,Колбасовы,4,2
2023-10-23,Невский,Молочковы,5,4
2023-10-23,Невский,Мятновы,4,4
2023-10-23,Невский,Сметанинковы,11,9
2023-10-22,Мышеостровский,Колбасовы,6,4
2023-10-22,Мышеостровский,Молочковы,6,5
2023-10-22,Мышеостровский,Мятновы,7,7
2023-10-22,Мышеостровский,Сметанинковы,9,9
2023-10-22,Краснокотейский,Колбасовы,4,3
2023-10-22,Краснокотейский,Молочковы,2,2
2023-10-22,Краснокотейский,Мятновы,9,8
2023-10-22,Краснокотейский,Сметанинковы,3,2
2023-10-22,Мышесельский,Колбасовы,4,3
2023-10-22,Мышесельский,Молочковы,9,8
2023-10-22,Мышесельский,Мятновы,4,2
2023-10-22,Мышесельский,Сметанинковы,10,8
2023-10-22,Петрокотский,Колбасовы,7,7
2023-10-22,Петрокотский,Молочковы,7,5
2023-10-22,Петрокотский,Мятновы,4,2
2023-10-22,Петрокотский,Сметанинковы,2,1
2023-10-22,Приморский,Колбасовы,6,4
2023-10-22,Приморский,Молочковы,5,5
2023-10-22,Приморский,Мятновы,9,7
2023-10-22,Приморский,Сметанинковы,3,1
2023-10-22,Невский,Колбасовы,3,3
2023-10-22,Невский,Молочковы,7,5
2023-10-22,Невский,Мятновы,11,9
2023-10-22,Невский,Сметанинковы,4,4
2023-10-21,Мышеостровский,Колбасовы,2,2
2023-10-21,Мышеостровский,Молочковы,4,4
2023-10-21,Мышеостровский,Мятновы,8,6
2023-10-21,Мышеостровский,Сметанинковы,2,2
2023-10-21,Краснокотейский,Колбасовы,2,2
2023-10-21,Краснокотейский,Молочковы,7,5
2023-10-21,Краснокотейский,Мятновы,1,1
2023-10-21,Краснокотейский,Сметанинковы,6,4
2023-10-21,Мышесельский,Колбасовы,6,6
2023-10-21,Мышесельский,Молочковы,4,3
2023-10-21,Мышесельский,Мятновы,9,9
2023-10-21,Мышесельский,Сметанинковы,10,8
2023-10-21,Петрокотский,Колбасовы,7,6
2023-10-21,Петрокотский,Молочковы,4,4
2023-10-21,Петрокотский,Мятновы,5,5
2023-10-21,Петрокотский,Сметанинковы,8,8
2023-10-21,Приморский,Колбасовы,4,3
2023-10-21,Приморский,Молочковы,5,4
2023-10-21,Приморский,Мятновы,3,3
2023-10-21,Приморский,Сметанинковы,6,5
2023-10-21,Невский,Колбасовы,5,4
2023-10-21,Невский,Молочковы,9,9
2023-10-21,Невский,Мятновы,2,2
2023-10-21,Невский,Сметанинковы,7,5
2023-10-20,Мышеостровский,Колбасовы,7,5
2023-10-20,Мышеостровский,Молочковы,3,2
2023-10-20,Мышеостровский,Мятновы,5,5
2023-10-20,Мышеостровский,Сметанинковы,5,5
2023-10-20,Краснокотейский,Колбасовы,4,4
2023-10-20,Краснокотейский,Молочковы,10,9
2023-10-20,Краснокотейский,Мятновы,7,6
2023-10-20,Краснокотейский,Сметанинковы,3,3
2023-10-20,Мышесельский,Колбасовы,8,6
2023-10-20,Мышесельский,Молочковы,5,5
2023-10-20,Мышесельский,Мятновы,4,2
2023-10-20,Мышесельский,Сметанинковы,3,1
2023-10-20,Петрокотский,Колбасовы,9,8
2023-10-20,Петрокотский,Молочковы,6,5
2023-10-20,Петрокотский,Мятновы,3,3
2023-10-20,Петрокотский,Сметанинковы,2,1
2023-10-20,Приморский,Колбасовы,5,5
2023-10-20,Приморский,Молочковы,5,4
2023-10-20,Приморский,Мятновы,5,3
2023-10-20,Приморский,Сметанинковы,5,4
2023-10-20,Невский,Колбасовы,7,6
2023-10-20,Невский,Молочковы,7,5
2023-10-20,Невский,Мятновы,8,7
2023-10-20,Невский,Сметанинковы,11,9
2023-10-19,Мышеостровский,Колбасовы,9,8
2023-10-19,Мышеостровский,Молочковы,7,7
2023-10-19,Мышеостровский,Мятновы,2,1
2023-10-19,Мышеостровский,Сметанинковы,2,2
2023-10-19,Краснокотейский,Колбасовы,9,9
2023-10-19,Краснокотейский,Молочковы,9,7
2023-10-19,Краснокотейский,Мятновы,8,8
2023-10-19,Краснокотейский,Сметанинковы,4,3
2023-10-19,Мышесельский,Колбасовы,4,4
2023-10-19,Мышесельский,Молочковы,10,8
2023-10-19,Мышесельский,Мятновы,4,3
2023-10-19,Мышесельский,Сметанинковы,9,8
2023-10-19,Петрокотский,Колбасовы,3,1
2023-10-19,Петрокотский,Молочковы,11,9
2023-10-19,Петрокотский,Мятновы,6,6
2023-10-19,Петрокотский,Сметанинковы,7,5
2023-10-19,Приморский,Колбасовы,7,6
2023-10-19,Приморский,Молочковы,9,8
2023-10-19,Приморский,Мятновы,9,9
2023-10-19,Приморский,Сметанинковы,4,4
2023-10-19,Невский,Колбасовы,2,2
2023-10-19,Невский,Молочковы,6,5
2023-10-19,Невский,Мятновы,8,7
2023-10-19,Невский,Сметанинковы,3,3
2023-10-18,Мышеостровский,Колбасовы,11,9
2023-10-18,Мышеостровский,Молочковы,8,7
2023-10-18,Мышеостровский,Мятновы,2,1
2023-10-18,Мышеостровский,Сметанинковы,4,4
2023-10-18,Краснокотейский,Колбасовы,9,8
2023-10-18,Краснокотейский,Молочковы,2,2
2023-10-18,Краснокотейский,Мятновы,6,5
2023-10-18,Краснокотейский,Сметанинковы,4,2
2023-10-18,Мышесельский,Колбасовы,11,9
2023-10-18,Мышесельский,Молочковы,1,1
2023-10-18,Мышесельский,Мятновы,9,7
2023-10-18,Мышесельский,Сметанинковы,7,7
2023-10-18,Петрокотский,Колбасовы,2,1
2023-10-18,Петрокотский,Молочковы,11,9
2023-10-18,Петрокотский,Мятновы,3,2
2023-10-18,Петрокотский,Сметанинковы,3,2
2023-10-18,Приморский,Колбасовы,8,8
2023-10-18,Приморский,Молочковы,11,9
2023-10-18,Приморский,Мятновы,10,8
2023-10-18,Приморский,Сметанинковы,8,8
2023-10-18,Невский,Колбасовы,7,7
2023-10-18,Невский,Молочковы,7,6
2023-10-18,Невский,Мятновы,3,1
2023-10-18,Невский,Сметанинковы,4,2
2023-10-17,Мышеостровский,Колбасовы,11,9
2023-10-17,Мышеостровский,Молочковы,8,6
2023-10-17,Мышеостровский,Мятновы,2,2
2023-10-17,Мышеостровский,Сметанинковы,4,4
2023-10-17,Краснокотейский,Колбасовы,5,5
2023-10-17,Краснокотейский,Молочковы,5,5
2023-10-17,Краснокотейский,Мятновы,6,4
2023-10-17,Краснокотейский,Сметанинковы,7,5
2023-10-17,Мышесельский,Колбасовы,9,8
2023-10-17,Мышесельский,Молочковы,4,2
2023-10-17,Мышесельский,Мятновы,9,7
2023-10-17,Мышесельский,Сметанинковы,7,5
2023-10-17,Петрокотский,Колбасовы,6,4
2023-10-17,Петрокотский,Молочковы,9,8
2023-10-17,Петрокотский,Мятновы,11,9
2023-10-17,Петрокотский,Сметанинковы,10,9
2023-10-17,Приморский,Колбасовы,7,7
2023-10-17,Приморский,Молочковы,3,2
2023-10-17,Приморский,Мятновы,9,8
2023-10-17,Приморский,Сметанинковы,4,4
2023-10-17,Невский,Колбасовы,5,4
2023-10-17,Невский,Молочковы,7,7
2023-10-17,Невский,Мятновы,3,1
2023-10-17,Невский,Сметанинковы,5,5
2023-10-16,Мышеостровский,Колбасовы,9,9
2023-10-16,Мышеостровский,Молочковы,4,4
2023-10-16,Мышеостровский,Мятновы,9,7
2023-10-16,Мышеостровский,Сметанинковы,5,3
2023-10-16,Краснокотейский,Колбасовы,3,2
2023-10-16,Краснокотейский,Молочковы,5,4
2023-10-16,Краснокотейский,Мятновы,8,8
2023-10-16,Краснокотейский,Сметанинковы,4,3
2023-10-16,Мышесельский,Колбасовы,2,2
2023-10-16,Мышесельский,Молочковы,2,2
2023-10-16,Мышесельский,Мятновы,4,4
2023-10-16,Мышесельский,Сметанинковы,4,2
2023-10-16,Петрокотский,Колбасовы,7,6
2023-10-16,Петрокотский,Молочковы,7,6
2023-10-16,Петрокотский,Мятновы,5,4
2023-10-16,Петрокотский,Сметанинковы,7,6
2023-10-16,Приморский,Колбасовы,4,4
2023-10-16,Приморский,Молочковы,6,5
2023-10-16,Приморский,Мятновы,2,1
2023-10-16,Приморский,Сметанинковы,6,4
2023-10-16,Невский,Колбасовы,2,2
2023-10-16,Невский,Молочковы,3,1
2023-10-16,Невский,Мятновы,2,1
2023-10-16,Невский,Сметанинковы,4,2
2023-10-15,Мышеостровский,Колбасовы,10,8
2023-10-15,Мышеостровский,Молочковы,2,2
2023-10-15,Мышеостровский,Мятновы,3,3
2023-10-15,Мышеостровский,Сметанинковы,5,4
2023-10-15,Краснокотейский,Колбасовы,4,2
2023-10-15,Краснокотейский,Молочковы,4,2
2023-10-15,Краснокотейский,Мятновы,3,2
2023-10-15,Краснокотейский,Сметанинковы,9,7
2023-10-15,Мышесельский,Колбасовы,6,4
2023-10-15,Мышесельский,Молочковы,4,4
2023-10-15,Мышесельский,Мятновы,5,5
2023-10-15,Мышесельский,Сметанинковы,3,1
2023-10-15,Петрокотский,Колбасовы,8,8
2023-10-15,Петрокотский,Молочковы,7,7
2023-10-15,Петрокотский,Мятновы,3,2
2023-10-15,Петрокотский,Сметанинковы,3,1
2023-10-15,Приморский,Колбасовы,7,5
2023-10-15,Приморский,Молочковы,9,7
2023-10-15,Приморский,Мятновы,7,5
2023-10-15,Приморский,Сметанинковы,3,3
2023-10-15,Невский,Колбасовы,8,7
2023-10-15,Невский,Молочковы,7,7
2023-10-15,Невский,Мятновы,3,2
2023-10-15,Невский,Сметанинковы,3,1
2023-10-14,Мышеостровский,Колбасовы,4,3
2023-10-14,Мышеостровский,Молочковы,8,6
2023-10-14,Мышеостровский,Мятновы,7,7
2023-10-14,Мышеостровский,Сметанинковы,5,3
2023-10-14,Краснокотейский,Колбасовы,8,6
2023-10-14,Краснокотейский,Молочковы,10,8
2023-10-14,Краснокотейский,Мятновы,8,8
2023-10-14,Краснокотейский,Сметанинковы,5,5
2023-10-14,Мышесельский,Колбасовы,7,7
2023-10-14,Мышесельский,Молочковы,8,6
2023-10-14,Мышесельский,Мятновы,3,3
2023-10-14,Мышесельский,Сметанинковы,5,5
2023-10-14,Петрокотский,Колбасовы,5,3
2023-10-14,Петрокотский,Молочковы,4,2
2023-10-14,Петрокотский,Мятновы,3,3
2023-10-14,Петрокотский,Сметанинковы,8,7
2023-10-14,Приморский,Колбасовы,9,9
2023-10-14,Приморский,Молочковы,8,7
2023-10-14,Приморский,Мятновы,2,1
2023-10-14,Приморский,Сметанинковы,2,2
2023-10-14,Невский,Колбасовы,3,3
2023-10-14,Невский,Молочковы,11,9
2023-10-14,Невский,Мятновы,8,7
2023-10-14,Невский,Сметанинковы,2,1
2023-10-13,Мышеостровский,Колбасовы,3,3
2023-10-13,Мышеостровский,Молочковы,5,3
2023-10-13,Мышеостровский,Мятновы,6,6
2023-10-13,Мышеостровский,Сметанинковы,9,8
2023-10-13,Краснокотейский,Колбасовы,5,4
2023-10-13,Краснокотейский,Молочковы,8,8
2023-10-13,Краснокотейский,Мятновы,8,8
2023-10-13,Краснокотейский,Сметанинковы,3,1
2023-10-13,Мышесельский,Колбасовы,8,7
2023-10-13,Мышесельский,Молочковы,10,8
2023-10-13,Мышесельский,Мятновы,3,2
2023-10-13,Мышесельский,Сметанинковы,9,7
2023-10-13,Петрокотский,Колбасовы,4,3
2023-10-13,Петрокотский,Молочковы,4,2
2023-10-13,Петрокотский,Мятновы,4,4
2023-10-13,Петрокотский,Сметанинковы,10,9
2023-10-13,Приморский,Колбасовы,8,6
2023-10-13,Приморский,Молочковы,6,6
2023-10-13,Приморский,Мятновы,2,1
2023-10-13,Приморский,Сметанинковы,1,1
2023-10-13,Невский,Колбасовы,8,7
2023-10-13,Невский,Молочковы,5,5
2023-10-13,Невский,Мятновы,2,1
2023-10-13,Невский,Сметанинковы,8,8
2023-10-12,Мышеостровский,Колбасовы,9,9
2023-10-12,Мышеостровский,Молочковы,9,7
2023-10-12,Мышеостровский,Мятновы,6,4
2023-10-12,Мышеостровский,Сметанинковы,6,6
2023-10-12,Краснокотейский,Колбасовы,8,7
2023-10-12,Краснокотейский,Молочковы,9,7
2023-10-12,Краснокотейский,Мятновы,10,8
2023-10-12,Краснокотейский,Сметанинковы,3,1
2023-10-12,Мышесельский,Колбасовы,6,6
2023-10-12,Мышесельский,Молочковы,4,2
2023-10-12,Мышесельский,Мятновы,7,7
2023-10-12,Мышесельский,Сметанинковы,4,3
2023-10-12,Петрокотский,Колбасовы,7,6
2023-10-12,Петрокотский,Молочковы,4,2
2023-10-12,Петрокотский,Мятновы,9,7
2023-10-12,Петрокотский,Сметанинковы,2,2
2023-10-12,Приморский,Колбасовы,2,2
2023-10-12,Приморский,Молочковы,4,3
2023-10-12,Приморский,Мятновы,5,4
2023-10-12,Приморский,Сметанинковы,9,7
2023-10-12,Невский,Колбасовы,9,8
2023-10-12,Невский,Молочковы,9,8
2023-10-12,Невский,Мятновы,10,8
2023-10-12,Невский,Сметанинковы,11,9
2023-10-11,Мышеостровский,Колбасовы,3,3
2023-10-11,Мышеостровский,Молочковы,9,9
2023-10-11,Мышеостровский,Мятновы,2,2
2023-10-11,Мышеостровский,Сметанинковы,9,9
2023-10-11,Краснокотейский,Колбасовы,9,7
2023-10-11,Краснокотейский,Молочковы,6,4
2023-10-11,Краснокотейский,Мятновы,2,2
2023-10-11,Краснокотейский,Сметанинковы,5,3
2023-10-11,Мышесельский,Колбасовы,4,3
2023-10-11,Мышесельский,Молочковы,10,8
2023-10-11,Мышесельский,Мятновы,4,4
2023-10-11,Мышесельский,Сметанинковы,8,8
2023-10-11,Петрокотский,Колбасовы,3,3
2023-10-11,Петрокотский,Молочковы,8,6
2023-10-11,Петрокотский,Мятновы,6,4
2023-10-11,Петрокотский,Сметанинковы,2,2
2023-10-11,Приморский,Колбасовы,4,3
2023-10-11,Приморский,Молочковы,2,2
2023-10-11,Приморский,Мятновы,7,7
2023-10-11,Приморский,Сметанинковы,9,7
2023-10-11,Невский,Колбасовы,9,7
2023-10-11,Невский,Молочковы,6,5
2023-10-11,Невский,Мятновы,7,5
2023-10-11,Невский,Сметанинковы,6,6
2023-10-10,Мышеостровский,Колбасовы,5,5
2023-10-10,Мышеостровский,Молочковы,4,3
2023-10-10,Мышеостровский,Мятновы,5,5
2023-10-10,Мышеостровский,Сметанинковы,6,5
2023-10-10,Краснокотейский,Колбасовы,8,8
2023-10-10,Краснокотейский,Молочковы,9,9
2023-10-10,Краснокотейский,Мятновы,5,4
2023-10-10,Краснокотейский,Сметанинковы,5,3
2023-10-10,Мышесельский,Колбасовы,8,7
2023-10-10,Мышесельский,Молочковы,8,7
2023-10-10,Мышесельский,Мятновы,11,9
2023-10-10,Мышесельский,Сметанинковы,8,8
2023-10-10,Петрокотский,Колбасовы,9,7
2023-10-10,Петрокотский,Молочковы,4,2
2023-10-10,Петрокотский,Мятновы,7,7
2023-10-10,Петрокотский,Сметанинковы,3,2
2023-10-10,Приморский,Колбасовы,7,5
2023-10-10,Приморский,Молочковы,5,4
2023-10-10,Приморский,Мятновы,8,7
2023-10-10,Приморский,Сметанинковы,7,7
2023-10-10,Невский,Колбасовы,5,5
2023-10-10,Невский,Молочковы,4,2
2023-10-10,Невский,Мятновы,6,6
2023-10-10,Невский,Сметанинковы,4,4
2023-10-09,Мышеостровский,Колбасовы,6,4
2023-10-09,Мышеостровский,Молочковы,8,6
2023-10-09,Мышеостровский,Мятновы,6,5
2023-10-09,Мышеостровский,Сметанинковы,4,3
2023-10-09,Краснокотейский,Колбасовы,2,1
2023-10-09,Краснокотейский,Молочковы,6,6
2023-10-09,Краснокотейский,Мятновы,6,4
2023-10-09,Краснокотейский,Сметанинковы,4,4
2023-10-09,Мышесельский,Колбасовы,10,9
2023-10-09,Мышесельский,Молочковы,4,3
2023-10-09,Мышесельский,Мятновы,4,2
2023-10-09,Мышесельский,Сметанинковы,6,5
2023-10-09,Петрокотский,Колбасовы,8,7
2023-10-09,Петрокотский,Молочковы,8,8
2023-10-09,Петрокотский,Мятновы,8,8
2023-10-09,Петрокотский,Сметанинковы,9,8
2023-10-09,Приморский,Колбасовы,9,8
2023-10-09,Приморский,Молочковы,7,7
2023-10-09,Приморский,Мятновы,10,8
2023-10-09,Приморский,Сметанинковы,3,2
2023-10-09,Невский,Колбасовы,9,8
2023-10-09,Невский,Молочковы,6,4
2023-10-09,Невский,Мятновы,5,4
2023-10-09,Невский,Сметанинковы,8,7
2023-10-08,Мышеостровский,Колбасовы,10,8
2023-10-08,Мышеостровский,Молочковы,7,5
2023-10-08,Мышеостровский,Мятновы,7,5
2023-10-08,Мышеостровский,Сметанинковы,9,9
